002  00473 |Loss: 1.702 | Acc: 36.963% 
002  00474 |Loss: 1.702 | Acc: 37.027% 
002  00475 |Loss: 1.702 | Acc: 37.062% 
002  00476 |Loss: 1.700 | Acc: 37.095% 
002  00477 |Loss: 1.699 | Acc: 37.184% 
002  00478 |Loss: 1.699 | Acc: 37.169% 
002  00479 |Loss: 1.699 | Acc: 37.100% 
002  00480 |Loss: 1.699 | Acc: 37.060% 
002  00481 |Loss: 1.698 | Acc: 37.056% 
002  00482 |Loss: 1.699 | Acc: 37.017% 
002  00483 |Loss: 1.697 | Acc: 37.092% 
002  00484 |Loss: 1.698 | Acc: 37.028% 
002  00485 |Loss: 1.697 | Acc: 37.016% 
002  00486 |Loss: 1.697 | Acc: 37.021% 
002  00487 |Loss: 1.697 | Acc: 36.968% 
002  00488 |Loss: 1.697 | Acc: 37.007% 
002  00489 |Loss: 1.696 | Acc: 37.020% 
002  00490 |Loss: 1.696 | Acc: 37.081% 
002  00491 |Loss: 1.693 | Acc: 37.165% 
002  00492 |Loss: 1.694 | Acc: 37.129% 
002  00493 |Loss: 1.694 | Acc: 37.141% 
002  00494 |Loss: 1.694 | Acc: 37.090% 
002  00495 |Loss: 1.695 | Acc: 37.017% 
002  00496 |Loss: 1.695 | Acc: 37.052% 
002  00497 |Loss: 1.693 | Acc: 37.154% 
002  00498 |Loss: 1.693 | Acc: 37.210% 
002  00499 |Loss: 1.693 | Acc: 37.198% 
002  00500 |Loss: 1.693 | Acc: 37.230% 
002  00501 |Loss: 1.691 | Acc: 37.276% 
002  00502 |Loss: 1.690 | Acc: 37.321% 
002  00503 |Loss: 1.690 | Acc: 37.351% 
002  00504 |Loss: 1.690 | Acc: 37.338% 
002  00505 |Loss: 1.690 | Acc: 37.319% 
002  00506 |Loss: 1.689 | Acc: 37.306% 
002  00507 |Loss: 1.688 | Acc: 37.370% 
002  00508 |Loss: 1.688 | Acc: 37.357% 
002  00509 |Loss: 1.689 | Acc: 37.298% 
002  00510 |Loss: 1.690 | Acc: 37.273% 
002  00511 |Loss: 1.689 | Acc: 37.295% 
002  00512 |Loss: 1.688 | Acc: 37.349% 
002  00513 |Loss: 1.686 | Acc: 37.370% 
002  00514 |Loss: 1.686 | Acc: 37.358% 
002  00515 |Loss: 1.686 | Acc: 37.378% 
002  00516 |Loss: 1.685 | Acc: 37.430% 
002  00517 |Loss: 1.685 | Acc: 37.450% 
002  00518 |Loss: 1.684 | Acc: 37.481% 
